[main, reserved word]
[{, open brace]
[int, reserved word]
[x, identifier]
[,, comma]
[y, identifier]
[;, semicolon]
[float, identifier]
[a, identifier]
[,, comma]
[w, identifier]
[;, semicolon]
[z, identifier]
[=, assignment operator]
[2, integer]
[;, semicolon]
[w, identifier]
[=, assignment operator]
[3.24, float]
[;, semicolon]
[x, identifier]
[=, assignment operator]
[z, identifier]
[+, addition operator]
[w, identifier]
[*, multiplication operator]
[3, integer]
[-, subtraction operator]
[6, integer]
[;, semicolon]
[y, identifier]
[=, assignment operator]
[12, integer]
[;, semicolon]
[while, reserved word]
[(, open parenthesis]
[z, identifier]
[<=, less than or equal to]
[w, identifier]
[), close parenthesis]
[{, open brace]
[if, reserved word]
[(, open parenthesis]
[i, identifier]
[==, equal to]
[1, integer]
[), close parenthesis]
[z, identifier]
[=, assignment operator]
[w, identifier]
[;, semicolon]
[i, identifier]
[=, assignment operator]
[2, integer]
[;, semicolon]
[if, reserved word]
[(, open parenthesis]
[i, identifier]
[!=, not equal to]
[5, integer]
[), close parenthesis]
[i, identifier]
[=, assignment operator]
[i, identifier]
[+, addition operator]
[1, integer]
[;, semicolon]
[if, reserved word]
[(, open parenthesis]
[i, identifier]
[>, greater than]
[5, integer]
[), close parenthesis]
[i, identifier]
[=, assignment operator]
[2, integer]
[;, semicolon]
[end, reserved word]
[else, reserved word]
[i, identifier]
[=, assignment operator]
[i, identifier]
[-, subtraction operator]
[1, integer]
[;, semicolon]
[end, reserved word]
[else, reserved word]
[y, identifier]
[=, assignment operator]
[x, identifier]
[;, semicolon]
[end, reserved word]
[}, close brace]
[cin, reserved word]
[r, identifier]
[;, semicolon]
[x, identifier]
[=, assignment operator]
[0, integer]
[;, semicolon]
[do, reserved word]
[x, identifier]
[=, assignment operator]
[x, identifier]
[+, addition operator]
[5, integer]
[;, semicolon]
[cout, reserved word]
[x, identifier]
[;, semicolon]
[until, reserved word]
[(, open parenthesis]
[x, identifier]
[>=, greater than or equal to]
[100, integer]
[), close parenthesis]
[;, semicolon]
[}, close brace]