[main, reserved word, 1]
[{, open brace, 1]
[int, reserved word, 2]
[x, identifier, 2]
[,, comma, 2]
[y, identifier, 2]
[,, comma, 2]
[z, identifier, 2]
[;, semicolon, 2]
[float, reserved word, 3]
[a, identifier, 3]
[,, comma, 3]
[b, identifier, 3]
[,, comma, 3]
[c, identifier, 3]
[,, comma, 3]
[x, identifier, 3]
[,, comma, 3]
[a, identifier, 3]
[;, semicolon, 3]
[x, identifier, 4]
[=, assignment operator, 4]
[32.32, float, 4]
[;, semicolon, 4]
[x, identifier, 5]
[=, assignment operator, 5]
[23, integer, 5]
[;, semicolon, 5]
[y, identifier, 6]
[=, assignment operator, 6]
[2, integer, 6]
[+, addition operator, 6]
[3, integer, 6]
[-, subtraction operator, 6]
[1, integer, 6]
[;, semicolon, 6]
[z, identifier, 7]
[=, assignment operator, 7]
[y, identifier, 7]
[+, addition operator, 7]
[7, integer, 7]
[;, semicolon, 7]
[y, identifier, 8]
[=, assignment operator, 8]
[y, identifier, 8]
[+, addition operator, 8]
[1, integer, 8]
[;, semicolon, 8]
[a, identifier, 9]
[=, assignment operator, 9]
[24.0, float, 9]
[+, addition operator, 9]
[4, integer, 9]
[-, subtraction operator, 9]
[1, integer, 9]
[/, division operator, 9]
[3, integer, 9]
[*, multiplication operator, 9]
[2, integer, 9]
[+, addition operator, 9]
[34, integer, 9]
[-, subtraction operator, 9]
[1, integer, 9]
[;, semicolon, 9]
[x, identifier, 10]
[=, assignment operator, 10]
[(, open parenthesis, 10]
[5, integer, 10]
[-, subtraction operator, 10]
[3, integer, 10]
[), close parenthesis, 10]
[*, multiplication operator, 10]
[(, open parenthesis, 10]
[8, integer, 10]
[/, division operator, 10]
[2, integer, 10]
[), close parenthesis, 10]
[;, semicolon, 10]
[y, identifier, 11]
[=, assignment operator, 11]
[5, integer, 11]
[+, addition operator, 11]
[3, integer, 11]
[-, subtraction operator, 11]
[2, integer, 11]
[*, multiplication operator, 11]
[4, integer, 11]
[/, division operator, 11]
[7, integer, 11]
[-, subtraction operator, 11]
[9, integer, 11]
[;, semicolon, 11]
[z, identifier, 12]
[=, assignment operator, 12]
[8, integer, 12]
[/, division operator, 12]
[2, integer, 12]
[+, addition operator, 12]
[15, integer, 12]
[*, multiplication operator, 12]
[4, integer, 12]
[;, semicolon, 12]
[y, identifier, 13]
[=, assignment operator, 13]
[14.54, float, 13]
[;, semicolon, 13]
[if, reserved word, 14]
[(, open parenthesis, 14]
[2, integer, 14]
[>, greater than, 14]
[3, integer, 14]
[), close parenthesis, 14]
[{, open brace, 14]
[y, identifier, 15]
[=, assignment operator, 15]
[a, identifier, 15]
[+, addition operator, 15]
[3, integer, 15]
[;, semicolon, 15]
[}, close brace, 16]
[else, reserved word, 17]
[{, open brace, 17]
[if, reserved word, 18]
[(, open parenthesis, 18]
[4, integer, 18]
[>, greater than, 18]
[2, integer, 18]
[), close parenthesis, 18]
[{, open brace, 18]
[b, identifier, 19]
[=, assignment operator, 19]
[3.2, float, 19]
[;, semicolon, 19]
[}, close brace, 20]
[else, reserved word, 21]
[{, open brace, 21]
[b, identifier, 22]
[=, assignment operator, 22]
[5.0, float, 22]
[;, semicolon, 22]
[}, close brace, 23]
[end, reserved word, 24]
[y, identifier, 25]
[=, assignment operator, 25]
[y, identifier, 25]
[+, addition operator, 25]
[1, integer, 25]
[;, semicolon, 25]
[}, close brace, 26]
[end, reserved word, 27]
[do, reserved word, 28]
[{, open brace, 28]
[y, identifier, 29]
[=, assignment operator, 29]
[(, open parenthesis, 29]
[y, identifier, 29]
[+, addition operator, 29]
[1, integer, 29]
[), close parenthesis, 29]
[*, multiplication operator, 29]
[2, integer, 29]
[+, addition operator, 29]
[1, integer, 29]
[;, semicolon, 29]
[while, reserved word, 30]
[(, open parenthesis, 30]
[x, identifier, 30]
[>, greater than, 30]
[7, integer, 30]
[), close parenthesis, 30]
[{, open brace, 30]
[x, identifier, 31]
[=, assignment operator, 31]
[6, integer, 31]
[+, addition operator, 31]
[8, integer, 31]
[/, division operator, 31]
[9, integer, 31]
[*, multiplication operator, 31]
[8, integer, 31]
[/, division operator, 31]
[3, integer, 31]
[;, semicolon, 31]
[cin, reserved word, 32]
[x, identifier, 32]
[;, semicolon, 32]
[mas, identifier, 33]
[=, assignment operator, 33]
[36, integer, 33]
[/, division operator, 33]
[7, integer, 33]
[;, semicolon, 33]
[}, close brace, 34]
[}, close brace, 35]
[until, reserved word, 36]
[(, open parenthesis, 36]
[y, identifier, 36]
[==, equal to, 36]
[5, integer, 36]
[), close parenthesis, 36]
[;, semicolon, 36]
[while, reserved word, 37]
[(, open parenthesis, 37]
[y, identifier, 37]
[==, equal to, 37]
[0, integer, 37]
[), close parenthesis, 37]
[{, open brace, 37]
[cin, reserved word, 38]
[mas, identifier, 38]
[;, semicolon, 38]
[x, identifier, 39]
[=, assignment operator, 39]
[x, identifier, 39]
[+, addition operator, 39]
[86, integer, 39]
[;, semicolon, 39]
[cout, reserved word, 40]
[x, identifier, 40]
[;, semicolon, 40]
[}, close brace, 41]
[}, close brace, 42]